name of file,donor,islet,glucose,cell number,cell type,R64 file,npy file
0023_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_16.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0023_beta.npy
0024_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_17.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0024_beta.npy
0025_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_18.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0025_beta.npy
0026_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_19.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0026_beta.npy
0027_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_20.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0027_beta.npy
0028_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_21.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0028_beta.npy
0029_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_22.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0029_beta.npy
0030_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_23.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0030_beta.npy
0031_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_24.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0031_beta.npy
0032_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_25.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0032_beta.npy
0033_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_26.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0033_beta.npy
0034_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_27.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0034_beta.npy
0035_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_28.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0035_beta.npy
0036_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_29.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0036_beta.npy
0037_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_30.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0037_beta.npy
0038_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_31.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0038_beta.npy
0039_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_32.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0039_beta.npy
0040_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_33.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0040_beta.npy
0041_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_34.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0041_beta.npy
0042_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_35.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0042_beta.npy
0043_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_36.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0043_beta.npy
0044_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_37.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0044_beta.npy
0045_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_38.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0045_beta.npy
0046_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_39.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0046_beta.npy
0047_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_40.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0047_beta.npy
0048_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_41.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0048_beta.npy
0049_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_42.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0049_beta.npy
0050_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_43.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0050_beta.npy
0051_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_44.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0051_beta.npy
0052_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_45.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0052_beta.npy
0053_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_46.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0053_beta.npy
0054_beta,20210630,P3H1,2 mM,beta2,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta2_47.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0054_beta.npy
0055_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_1.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0055_beta.npy
0056_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_2.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0056_beta.npy
0057_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_3.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0057_beta.npy
0058_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_4.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0058_beta.npy
0059_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_5.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0059_beta.npy
0060_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_6.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0060_beta.npy
0061_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_7.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0061_beta.npy
0062_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_8.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0062_beta.npy
0063_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_9.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0063_beta.npy
0064_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_10.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0064_beta.npy
0065_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_11.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0065_beta.npy
0066_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_12.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0066_beta.npy
0067_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_13.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0067_beta.npy
0068_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_14.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0068_beta.npy
0069_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_15.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0069_beta.npy
0070_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_16.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0070_beta.npy
0071_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_17.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0071_beta.npy
0072_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_18.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0072_beta.npy
0073_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_19.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0073_beta.npy
0074_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_20.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0074_beta.npy
0075_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_21.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0075_beta.npy
0076_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_22.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0076_beta.npy
0077_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_23.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0077_beta.npy
0078_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_24.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0078_beta.npy
0079_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_25.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0079_beta.npy
0080_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_26.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0080_beta.npy
0081_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_27.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0081_beta.npy
0082_beta,20210630,P3H1,1 mM,beta16,beta,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\R64 files\20210630\P3H1\beta\beta16_28.R64,G:\My Drive\PhD\CAPTUR3D_personal\00 Progetti\CellTypeRecognition_DeepLearning\input\numpy files\0082_beta.npy
